id,NAME,Quick Sort,TYPE,AFFINITY,MOVE,AP,STR,ARM,WILL,DEX,HEART,SK/PN,BIT,ABILITIES,ACTIONS,CARD BACK,FLAVOR,PRODUCT,REALM,STATUS,
1,Crystal Weaver,mini-boss,CONSTRUCT MINI-BOSS,purple,7,3,"Melee 1
5B",2B 1R,1B,4B,7,4,SUPER,Crystal Curse,"(Red 2) Crystalline Web: Melee, Wave 1, Slow

(Red 1) Mighty Leap: Melee 1, Pounce

(Blue 1) Seize Prey: Range 1, DEX Vs. DEX. Place the target adjacent to this model at the end of this model's activation.",,"The Midnight Tower is guarded by any number of nefarious traps, henchmen, and monsters. But none compare to the Crystal Weaver in pure corruption and unfeeling malignance. Once a sacred keeper of the Goddess Chamber, the Crystal Weaver was one of the wonders of Crystalia. That the Midnight Queen was able to taint it in both heart and form is a stain upon the land. Once in the shape of a mighty knight, the golem has taken on the twisted form of one of the Queen's spiders, and stalks the halls of her tower hunting down unfortunate Heroes with unfeeling adeptness. ",Crystal Golem,Midnight Tower,Complete,
2,Tanchyo Yajiri,monster,TANCHYO MINION,Emerald,7,2,2B,0W,2B,"Missile 8
3B",2,2,8-Bit,Retribution,,,"The north of Kagejima is dominated by vast expanses of sheltering forests. Dozens or hundreds of feet above the forest floor, clever dwellings dot the boughs and trunks, connected by walkways and rope bridges. These are the villages of clan Tanchyo. Living in the canopy, every member of clan Tanchyo has become an expert climber and marksman, as there is no better way to protect their tree-top homes. The archers of the Tanchyo, the Yajiri, are both plentiful and exceptionally skilled.",Clan Tanchyo,Kagejima,Complete,
3,Moon Princess,Hero,HUMAN HERO,Citrine/Ruby,6,3,"Melee 2
2R",1B 1R,"Magic 6
2R",3B,5,2,,Moon's Blessing,"(Red 2) Moonbeam: Magic, Lance 4

(Red 2) Moonlit Blade: Melee, Cross 2

(Green Potion) Tears of the Princess: Augment, Heal 1 for each Princess Coin that was spent this game.

(Blue Potion) Bottled Starlight: Augment, +2 Move, Proficient",,"Schooled since birth in the ancient, esoteric arcana of her family, the Moon Princess sometimes tires of merely watching the Moonlight Tournament. Sometimes, she wishes to pit her own strange and terrible power against the warriors competing to do her honor. Several true assassinations have been attempted during the Tournament, and surely more will come. In truth, this danger is part of what makes these outings so appealing.",Moon Princess,Kagejima,Complete,
4,Mr. Milky,Pet,CYPHER PET,Citrine,6,1,"Melee 1
1B 1R",2W,2W,2W,2,2,,Master gains Luck (2),"(Blue 1) Sustenance: Augment, Range 3. Roll 1R. Heal 1 for each star rolled.",,"Like many knights, Bang-Bang programmed her loyal cypher in Super Dungeon to play alongside her. But unlike most cyphers, Mr. Milky insists on playing his own character rather than leaving it up to a potentially clumsy AI. He hops up on a stool, furiously mashing the buttons in order to provide the Heroes with proper healing in their time of need. And all who play with him always appreciate it, a dedicated healer can be hard to find. They even graciously overlook his unusual method of healing.",Bang-Bang,Castle Town,Complete,
5,Black Snow,Hero,HUMAN HERO,Citrine,6,3,"Melee 1
2R","Def
3B",2B,3B,5,1,,I Know Nothing,"(Red 2) Frostblade: Melee 1, +1G STR, Ice

(Blue 1) I Have Returned: Augment, This model makes one basic melee attack for each Princess Coin the party has spent this game, up to a maximum of three. This action may only be taken once per turn.

(Green Potion) Glacial Draught: Augment, Heal 1 and gain Black Ice","Black Ice: 
https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y

Heal:
https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y

Ice:
https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y

I Know Nothing: A model with this ability may not use the Open Chest action.

","Wandering the frozen expanses of Frostbyte Reach the outcast noble, Black Snow, watches for signs of the return of the Lich King. He hopes to one day end his watch and return to a life of peace and warmth. He wonders if he will succeed, on this... he knows nothing. ","NJD202082
Black Snow",Frostbyte Reach,Complete,
6,Steelhorse Candy,Hero,HUMAN HERO,Emerald/Sapphire,7,3,"Melee 1
3B",2R,2B,"Missile 6
3B",5,1,,Surefoot,"(Red 2) Ride On Through: Melee, Lance 6, Charge

(Blue 2) Lead Storm: Augment, Until the end of this model's activation, after moving two spaces, this model may make a basic missile attack. At the end of this model's activation it must discard one equipment card from the backpack.

(Blue Potion) Trucker Brew: Augment, +1 Action. This model suffers one wound.","Charge:

Surefoot:

https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y
","Lost in a strange new land, Steelhorse Candy rides through the dungeons of Crystalia searching for a way home.","NJD202070
Steelhorse Candy",Castle Town,Complete,
7,Celebration Candy,Hero,HUMAN HERO,Citrine,6,3,"Melee 1
2R",3B,2B,3B,5,2,,Alchemy,"(Red 2) Soda Detector: Melee 1, +2R STR

(Red 2) Cake Toss: Missile 5, Burst 1, Knockdown

(Blue Potion) Nothing But Frosting: Augment, Heal 1, Remedy

(Blue Potion) Sugar Crash: Wave 2, Slow","Alchemy:

Heal X:

Knockdown:

Remedy:

Slow:

https://drive.google.com/open?id=1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y
","Join Candy and Cola in celebrating their 10th Anniversary! 

Soda Pop Miniatures would like to thank all of our incredible fans, old and new, who have joined us on our adventures!","NJD202068
Celebration Candy",,Complete,
8,Ryu,Hero,HUMAN HERO,Citrine,6,3,"Melee 1
2R",3B,3B,2B,5,1,,Protector,"(Red 2) Avenge the Weak: Melee 1, gain +1B STR during this action for each wound this Hero is suffering.

(Red 2) At Your Side: Place this Hero adjacent to another Hero that has two or more wound tokens. Then, this Hero may make one melee attack against each adjacent enemy.

(Green Potion) Soothing Herbs: Heal 2, Remedy","Heal X:

Protector: 

Remedy:

https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#","After falling prey to bandits, Ryu was saved by wandering monks. As he grew in their monastery, Ryu soon became a strong and focused fighter with an understandable hatred for those who preyed on the weak. ","NJD202056
Ryu",Kagejima,Complete,
9,Mochizuki,Hero,HUMAN HERO,Emerald/Ruby,5,3,"Melee 1
2B",3B,2R,"Missile 5
3B",5,1,,Dread,"(Red 2) Strike From The Shadows: Magic 5, if this offensive action causes a wound, this Hero may be placed adjacent to another Hero.

(Red 2) Assassin's Curse: Magic 5, +1R WILL, Mark

(Blue Potion) Smoke Bombs: Augment, Aura 2, Stealth","Dread:

Mark: 

Stealth:

https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#","Mochizuki eschews her school’s preference for subtle poisons or the concealed tanto in favor of the shock and power of paired pistols. Mochizuki is famed for appearing an instant before she turns her guns upon her target in a blaze of flame and thunder, and then vanishing again into the smoke.","NJD202054
Mochizuki",Kagejima,Complete,
10,Makerguild Engineer,Hero,DWARF HERO,Emerald/Sapphire,5,3,"Melee 1
3B",2B,3B,"Missile 5
2R",6,2,,Fortify,"(Red 2) Exploding Rocket Fist: Dangerous, Melee 3, +1B STR, Burst 1

(Red 2) Wrench Whack: Melee 1, +1R STR, Massive Damage

(Green Potion 1) Flubber Coating: Augment, +1B ARM, Spongy

(Blue Potion 2) Concussion Grenade: Dangerous, Range 3, Burst 2, Hex, Knockdown  
","Fortify:

Hex:

Knockdown:

Massive Damage:

Spongy:

https://docs.google.com/document/d/1Lxyg7DaD-QgalB949itOUuGDhsIJrsiK96A9V690h-Y/edit#","I have just the thing, and I think it works!","NJD202071
Makerguild Engineer",Clockwork Cove,Complete,
